tweet_id,tweet_text,corrected_label,informative_content
592344887997177856',RT @oxfamgb: Nepal Earthquake Response. We are there &amp; urgently need your help. Donate now and save lives. https://t.co/BcOfPzVDL3,not_related_or_irrelevant,RT @oxfamgb: Nepal Earthquake Response. We are there &amp; urgently need your help. Donate now and save lives. https://t.co/BcOfPzVDL3
593831568465989632',RT @AP: BREAKING: Police say a woman has been rescued from rubble 5 days after massive Nepal earthquake.,rescue_volunteering_and_donation_effort,a woman has been rescued
592341060023529472',"RT @SpokespersonMoD: #NepalEarthquake A C-17 Globemaster III aircraft with about 285 passengers on board is scheduled to arrive at Palam, D…",affected_people_and_evacuations,A C-17 Globemaster III aircraft with about 285 passengers on board is scheduled to arrive at Palam
592288098198757378',"6.6 million people affected in Nepal earthquake, says UN: The quake and the ensuing aftershocks triggered aval... http://t.co/oTcN2oet0a",affected_people_and_evacuations,6.6 million people affected
593025123826864128',China stands side by side with Nepal in time of woe: A massive earthquake shook Nepal at 2:11 pm Beijing time ... http://t.co/ttPoIlLQiw,other_useful_information,A massive earthquake shook Nepal at 2:11 pm Beijing time 
592679813770543105',RT @rajeevk1949: @_RandhirSingh_ @DrGPradhan @upma23 2/2 event of an earthquake there They fear if they go to Nepal they will be branded as…,not_related_or_irrelevant,RT @rajeevk1949: @_RandhirSingh_ @DrGPradhan @upma23 2/2 event of an earthquake there They fear if they go to Nepal they will be branded as…
593154950470848512',RT @TIME: See India's rescue operations in the villages most affected by Nepal's deadly earthquake http://t.co/Tcirp7hceR http://t.co/LCMDo…,rescue_volunteering_and_donation_effort,India's rescue operations in the villages most affected
592275282981036034',"Nepal quake kills more than 1,500 http://t.co/rkLnZyvBo4 http://t.co/JoSIVXzGs5",injured_or_dead_people,"kills more than 1,500"
592269835574255616',Heritage temples destroyed.\nEntire streets damaged.\nOver 2000 deaths already.\n\n#NepalEarthquake http://t.co/KSOmW68NLS,infrastructure_and_utilities_damage,Heritage temples destroyed.\nEntire streets damaged
592277239607132160',Glad my sister in law's family safe. Sad news about damage to old buildings in Kat. https://t.co/Kkf7fswqPH,affected_people_and_evacuations,my sister in law's family safe
592690177681825794',"RT @BhavnaInsan7: Mobile hospital,Food,Doctors being sent to nepal by @derasachasauda under the guidance of Guruji @Gurmeetramrahim  #MSGHe…",rescue_volunteering_and_donation_effort,"Mobile hospital,Food,Doctors being sent to nepal"
592278355371626497',Shift #Nepal with lil baby after babri masjid fell. CID/IB/CBI/All heat honest motivators #RamSevak.Leaders Delhi safe.\n#WeCan #Pray4Nepal,affected_people_and_evacuations,Leaders Delhi safe
592080430439923712',Indian Air Force plane fetches 55 people back from Nepal: A C-130J Super Hercules aircraft of the Indian Air F... http://t.co/WKzcj9ypAj,affected_people_and_evacuations,fetches 55 people back from Nepal
593097742978789376',RT @LokmanKarki: Bhupalman Singh Karki Academy has contributed Rs 1 Million aid to relief the suffering of the victims. #PrayforNepal http:…,rescue_volunteering_and_donation_effort,Bhupalman Singh Karki Academy has contributed Rs 1 Million aid to relief the suffering of the victims
592175434688638976',RT @DDNewsLive: #BSNL and #MTNL decide to charge local rates for calls made to Nepal for next three days,rescue_volunteering_and_donation_effort,#BSNL and #MTNL decide to charge local rates for calls made to Nepal
592281863382634496',"RT @insan_shweta: The 7.9 earthquake dat hit nepal has dstroyed buildings, cellphone netwrks r down nd power is out @Gurmeetramrahim #MSGHe…",infrastructure_and_utilities_damage,"dstroyed buildings, cellphone netwrks r down nd power is out"
592276576940597248',"MUST WATCH : What Happened : Nepal EarthQuake : April 25, 2015 - Powerfu... https://t.co/XWGlJ3Tpf4 via @YouTube",other_useful_information,"Nepal EarthQuake : April 25, 2015"
592765045181915138',RT @mashable: History in crumbles: World Heritage sites suffer 'irreversible damage' in Nepal earthquake http://t.co/uTPRwONcD9 http://t.co…,infrastructure_and_utilities_damage,History in crumbles: World Heritage sites suffer 'irreversible damage'
592274677898313728',Nepal earthquake: Everest survivors describe ordeal - BBC News http://t.co/qAhzCuAxuK,other_useful_information,Nepal earthquake: Everest survivors describe ordeal
592680034718130178',RT @iSupportNamo: Ramdev Baba will adopt 500 children Nepal who have lost their parents.. We thank Patanjali for their immense service.,rescue_volunteering_and_donation_effort,Ramdev Baba will adopt 500 children
592275097307582465',"RT @mariagorettiz: My friend @kichiepoo still stranded in Nepal, just told me the Australians were evacuated last night\nWater being sold fo…",affected_people_and_evacuations,My friend @kichiepoo still stranded [SEP]the Australians were evacuated
592282613982830593',Nepal earthquake: Impact attributed to huge energy release http://t.co/fETmy44D3h,infrastructure_and_utilities_damage,Impact attributed to huge energy release
592262311903109120',"Staff at Kathmandu Airport working hard to keep the airport open for relief flights, despite constant aftershocks #flyinghelp #NepalQuake",rescue_volunteering_and_donation_effort,Staff at Kathmandu Airport working hard to keep the airport open for relief flights
592275635919130624',"RT @RanjnaNijhawan: Dead,in Nepal confirms; Emergency declared\nMassive rescue operation in Kathmandu #MSGHelpEarthquakeVictims\n. http://t.c…",rescue_volunteering_and_donation_effort,Emergency declared\nMassive rescue operation in Kathmandu 
592375504453378049',RT @htTweets: Around three lakh foreign tourists stranded in quake-hit Nepal http://t.co/ZaJF5PRrrE,affected_people_and_evacuations,Around three lakh foreign tourists stranded
592275062964654082',RT @WSJ: Before and After earthquake: Durbar Square in Kathmandu http://t.co/P2wO6WJuBF http://t.co/RNCP68OKZb,other_useful_information,Before and After earthquake
592282909270114304',CARE’s Santosh Sharma Kathmandu said earthquake survivors spent the night gripped with fear due to severe aftershocks http://t.co/q51AJf7nCI,affected_people_and_evacuations,earthquake survivors spent the night gripped with fear
593403605568348161',"Nepal Airport Provides Shelter, Relief and Treatment http://t.co/dFktcmb88c #News #USA",rescue_volunteering_and_donation_effort,"Nepal Airport Provides Shelter, Relief and Treatment "
592891921401544706',hope we can all find a way to do something for the victimes in nepal who are in a dire situation.  you can text... http://t.co/KdZNARc1qO,not_related_or_irrelevant,hope we can all find a way to do something for the victimes in nepal who are in a dire situation.  you can text... http://t.co/KdZNARc1qO
592857826894184448',"Nepal scrambles to organize quake relief, many flee capital http://t.co/YGRIpG4yY8 #worldnews #news #breakingnews",rescue_volunteering_and_donation_effort,Nepal scrambles to organize quake relief
600160660887117824',RT @jackjohnson: Join Jack in supporting #NepalEarthquake relief and recovery efforts. Please consider making a donation today: http://t.co…,rescue_volunteering_and_donation_effort,Join Jack in supporting #NepalEarthquake relief and recovery efforts
592278029621186560',RT @careintuk: Shocking photo of cracks in ground in Kathmandu from CARE's emergency team in #Nepal \nDonate: http://t.co/By401hIiT7 http://…,other_useful_information,Shocking photo of cracks in ground in Kathmandu
592281782009081856',RT @nytimesworld: Some of Nepal's world heritage sites are damaged or destroyed in earthquake. http://t.co/G5P36VMoJQ http://t.co/xI07wGUOqv,infrastructure_and_utilities_damage,Some of Nepal's world heritage sites are damaged or destroyed
592276694087639040',Nepal earthquake: Six horrific footage caught on CCTV http://t.co/Za3GL3X2D4,other_useful_information,Nepal earthquake: Six horrific footage caught on CCTV
592288313505087488',Jefferson County man located safely in Nepal after quake; Washington ... - http://t.co/l9J0IflTbg http://t.co/J7h3lAxWN3,affected_people_and_evacuations,Jefferson County man located safely 
593179726619004930',"Nepal prime minister: Death toll could reach 10,000 http://t.co/FAXcRtj2a7",injured_or_dead_people,"Death toll could reach 10,000"
593158520326885376',"RT @AdamLBarnett: 3,617 killed in Nepal. Protests &amp; riots in Baltimore. 88,175 worldwide abortions. FBI predicts ISIS attack in USA.  Peopl…",injured_or_dead_people,"3,617 killed"
593044582000132096',"RT @amitshahdelhi: Delhi flies rescue teams, medical supplies &amp; relief material to Nepal; http://t.co/6zDlZkOg5G #Salute2IndianForces",rescue_volunteering_and_donation_effort,"Delhi flies rescue teams, medical supplies &amp; relief material to Nepal"
592857592134823939',"Microsoft offers free Skype calls in Nepal, Facebook donates $2 million http://t.co/r8uyxIwiKZ",rescue_volunteering_and_donation_effort,"Microsoft offers free Skype calls in Nepal, Facebook donates $2 million "
592283441544073217',Nepal earthquake: Kathmandu airport reopens for rescue operations http://t.co/fXT13a3GQ5,infrastructure_and_utilities_damage,Kathmandu airport reopens for rescue operations
600405858749526016',RT @mayankjain100: Islamic invaders used to throw slaughtered cows in water sources of Rajputs--who used to die thirsty during war. Pak doe…,not_related_or_irrelevant,RT @mayankjain100: Islamic invaders used to throw slaughtered cows in water sources of Rajputs--who used to die thirsty during war. Pak doe…
592949352596897792',"Live: Nepal quake toll could reach 10,000, says PM Koirala http://t.co/ud7JwWDn6n http://t.co/qqeJKOXz3x",injured_or_dead_people,"toll could reach 10,000,"
591924112500523009',RT @the_hindu: NDRF teams have been sent to affected areas: @BJPRajnathSingh . #NepalEarthquake,rescue_volunteering_and_donation_effort,NDRF teams have been sent to affected areas
592335911683104768',RT @UNOCHA: #NepalQuake:  Worst earthquake in over 80 years leaves at least 1000 dead http://t.co/pKZGpDDVp0,injured_or_dead_people,at least 1000 dead
592291258095271936',"#BREAKING - More bodies pulled from the rubble in Nepal. Plus a Coast Guard rescue in Alabama overnight. Latest on #WCVB , starting at 8a.m.",affected_people_and_evacuations,More bodies pulled from the rubble
592742935910850562',Family of missing Ottawa hiker Faye Kennedy says she is alive but injured and airlifted to Kathmandu No idea of extent of injuries @CTVNews,injured_or_dead_people,she is alive but injured
592637842515329024',RT @ConceptGrp: Emirates Red Crescent sends aid to quake-hit Nepal http://t.co/ARAanVtaPQ,rescue_volunteering_and_donation_effort,Emirates Red Crescent sends aid to quake-hit Nepal
591990933417291776',"RT @ChristopherJM: Awful. At least 688 dead in Nepal, according to police. Another 20 killed in India, 6 in Tibet and 2 in Bangladesh. http…",injured_or_dead_people,"At least 688 dead[SEP]Another 20 killed in India, 6 in Tibet and 2 in Bangladesh"
592267007015329792',"#VIDEO Nepal earthquake: Centuries-old temples, towers collapsed in Kathmandu http://t.co/uuQkay9NFs http://t.co/qsFA168Xdh",infrastructure_and_utilities_damage,"Centuries-old temples, towers collapsed"
592246525499088896',@AnupamkPandey  I hav been tld by my frnd tht @travelxp  tv team has rescued and brought 2 the Kathmandu Airport..hw cn spk 2 thm on airport,rescue_volunteering_and_donation_effort,team has rescued
593319821455929344',RT @jonkay01: Gurkha soldiers - synonymous with Nepal - tonight flying from RAF Brize Norton to deliver UK emergency aid.. http://t.co/clBa…,rescue_volunteering_and_donation_effort,Gurkha soldiers - synonymous with Nepal - tonight flying from RAF Brize Norton to deliver UK emergency aid
592684662432071681',RT @MedShare2014: Want to help #disasterresponse in #NepalEarthquake?  Donate to @medshare,not_related_or_irrelevant,RT @MedShare2014: Want to help #disasterresponse in #NepalEarthquake?  Donate to @medshare
592277914369986561',RT @USATODAY: RT @khjelmgaard: Magnitude 6.7 earthquake strikes Nepal (second major quake in 2 days). New damage unclear http://t.co/lOxe4t…,other_useful_information,Magnitude 6.7 earthquake strikes Nepal
593608382717698050',"@franktbh @salsapockbill24 My heart goes out to both the victims of Nepal, and Lady Gaga..",not_related_or_irrelevant,My heart goes out to both the victims of Nepal
593082426298994689',RT @palangmerah: PMI together with foreign ministry will evacuate Indonesian citizen in Nepal #NepalEarthquake,affected_people_and_evacuations,evacuate Indonesian citizen
593157112252997632',RT @davidcommon: Canada's C17 to arrive in #Nepal Wednesday. Bringing aid in. Taking Canadians out. http://t.co/Thk1qksS95,rescue_volunteering_and_donation_effort,Canada's C17 to arrive in #Nepal [SEP]Bringing aid in
592130690633707520',".@AnupKaphle also send me an email, im coordinating with someone from @TimesNow in Delhi and can pass on.  https://t.co/hJNVihhnx2",not_related_or_irrelevant,".@AnupKaphle also send me an email, im coordinating with someone from @TimesNow in Delhi and can pass on.  https://t.co/hJNVihhnx2"
592281382086385665',Strong aftershocks add to misery for Nepal quake victims | news | Watch: http://t.co/jT0t3u9psx,other_useful_information,Strong aftershocks add to misery for Nepal quake victims
592260164964712449',RT @carolineheldman: This is Kat's group on 4/23 en route to Lama Hotel in the #Langtang region. Anyone seen this group? #NepalEarthquake h…,affected_people_and_evacuations,Anyone seen this group
593150510464565248',RT @narendramodi: Took stock of the evacuation of those stranded in Nepal. Also took stock of provision of relief supplies &amp; material to af…,affected_people_and_evacuations,Took stock of the evacuation of those stranded
591940962424889344',"RT @AP: Latest on Nepal quake: Police say 449 dead, including 181 in Kathmandu: http://t.co/DVz0I49IcL",injured_or_dead_people,"449 dead, including 181 in Kathmandu"
592656030263287810',"RT @ILNewsFlash: HEARTBREAKING: 3,617 people confirmed dead in Nepal with over 7,000 injured. #NepalEarthquake http://t.co/U3kkAu9ocM",injured_or_dead_people,"3,617 people confirmed dead [SEP]over 7,000 injured"
592344949435277312',RT @MusicForRelief: Urgent relief needed to bring aid to survivors of #NepalEarthquake. Text MFR to 41444 to support.,rescue_volunteering_and_donation_effort,Urgent relief needed to bring aid 
592959812935294976',RT @YahooNZ: Text NEPAL to 2923 to make a $3 donation to UNICEF's aid effort in Nepal. Every little bit helps. http://t.co/gwUKgOZA6p,not_related_or_irrelevant,RT @YahooNZ: Text NEPAL to 2923 to make a $3 donation to UNICEF's aid effort in Nepal. Every little bit helps. http://t.co/gwUKgOZA6p
591919579556786176',RT @mascud_r: Let's pray for minimum life loss in  #NepalEarthquake .,not_related_or_irrelevant,Let's pray for minimum life loss in  #NepalEarthquake
592275996415406080',UNESCO World Heritage sites destroyed by quake: sad sight.All our thoughts and prayers are with the people of Nepal. https://t.co/lgvQJZCnNF,infrastructure_and_utilities_damage,UNESCO World Heritage sites destroyed
593075843871670272',"RT @FellowshipNWA: If you would like to make a donation toward disaster relief in Nepal, you can do so through Fellowship. http://t.co/V4lu…",not_related_or_irrelevant,"RT @FellowshipNWA: If you would like to make a donation toward disaster relief in Nepal, you can do so through Fellowship. http://t.co/V4lu…"
592107877055209473',RT @1alexcam: #Nepal #earthquake⏩ Horrific scenes in #Pokhara http://t.co/ApBEHyqk9K #NepalQuake #NepalQuakeRelief #NepalEarthquake #Quake …,other_useful_information,#Nepal #earthquake⏩ Horrific scenes in #Pokhara
592281785788145665',Report from @kathmandupost quotes ministry officials saying that 217 people still missing in Everest region. #Nepal. \nhttp://t.co/nmdBzEDP22,affected_people_and_evacuations,217 people still missing
592155361701953537',http://t.co/abbtrs8RTk I AM STREAMING THE EMERGENCY COMMUNICATIONS FROM NEPAL.. http://t.co/mWNaOH1aCc,other_useful_information,THE EMERGENCY COMMUNICATIONS FROM NEPAL
592295466420858880',"RT @Alex_Ogle: Kathmandu's historic Dharahara tower collapses in Nepal quake, people reportedly trapped in rubble - pic via @ibnlive http:/…",infrastructure_and_utilities_damage,Kathmandu's historic Dharahara tower collapses
593083438737006592',3Novices:Nepal Earthquake: US Lawmakers Introduce Special Status Bill for Victims http://t.co/OOjDdgulqP Two US lawmakers have introduced…,rescue_volunteering_and_donation_effort,US Lawmakers Introduce Special Status Bill for Victims 
592071946965262337',"RT @KunzangPalchen: Please offer prayers to the many effected by the severe earthquake in Kathmandu, Nepal.  Rinpoche's family in Nepal are…",not_related_or_irrelevant,Please offer prayers to the many effected
592361201750781953',"Nepal's Hospitals Swamped as Number of Deaths Crosses 2,400-Mark, Thousands Injured: Overwhelmed doctors moved hundreds of patients o...",injured_or_dead_people,"Number of Deaths Crosses 2,400-Mark, Thousands Injured[SEP]hundreds of patients"
592378730015825920',RT @reportedly: #NepalQuake video: A Google Earth tour of the destruction http://t.co/TR9pA7KqNX #Kathmandu #Everest http://t.co/7PTnEddWPX,other_useful_information,A Google Earth tour of the destruction
592278796989911040',Nepal Earthquake 2015: Reported deaths in Nepal by district (as of 25 April 2015): Map shows the e... http://t.co/J3oQKD33mO #nepalquake,other_useful_information,Nepal Earthquake 2015
592252780925976576',Historic Dharara Tower Collapses In Kathmandu After Deadly Nepal Earthquake http://t.co/peu9oTeNFf,infrastructure_and_utilities_damage,Historic Dharara Tower Collapses
593360601553969152',"Man pulled alive from rubble 80 hours after Nepal quake as death toll passes 5,000 http://t.co/Xay9RxpQ2j",affected_people_and_evacuations,Man pulled alive from rubble
597857684734500864',RT @drsanjaygupta: nepal paper reports this 4 mo old baby was rescued 22+ hours after the #nepalquake. stable w/ no internal injuries! http…,rescue_volunteering_and_donation_effort,this 4 mo old baby was rescued
592276145497894912',CNN: Huge aftershock slams Nepal http://t.co/gKPpEZp8Mf,other_useful_information,Huge aftershock slams Nepal
592281941992419328',"RT @Examiner: Himalaya trekker Laura Wood, 23, of #Huddersfield reported to be  missing following #NepalEarthquake - do you know her? Call …",affected_people_and_evacuations,"Himalaya trekker Laura Wood, 23, of #Huddersfield reported to be  missing"
592245179236487168',#Kathmandu airport shut down after latest tremors. #EarthquakeInNepal @FocusNewsIndia,infrastructure_and_utilities_damage,#Kathmandu airport shut down 
593600014212960257',RT @ShelterBoxUK: Happy birthday to our response volunteers Nicola Hinds &amp; @LizOdell who are in #Nepal helping after the #earthquake http:/…,not_related_or_irrelevant,RT @ShelterBoxUK: Happy birthday to our response volunteers Nicola Hinds &amp; @LizOdell who are in #Nepal helping after the #earthquake http:/…
591919324715036672',RT @jaisearok: India send its national disaster rescue force to nepal #earthquake  #indianAvengers,rescue_volunteering_and_donation_effort,India send its national disaster rescue force to nepal 
592281379737501696',Under 14 girls football team stuck in Nepal I Sushma Swaraj tweets to evacuate girls - http://t.co/l3ulbW92SN http://t.co/pcyD93iDVT,affected_people_and_evacuations,Under 14 girls football team stuck
592276285545525248',The earthquake in Nepal and our connections via missions http://t.co/9fklJ5BMn1,other_useful_information,The earthquake in Nepal
592297173372555264',Nepal - 7.9 quake turns Kathmandu into ruins. https://t.co/oBCkMPArHB http://t.co/OUOvaWTWxn,infrastructure_and_utilities_damage,turns Kathmandu into ruins.
591949199131869185',BREAKING: Death toll in #Nepal's powerful #Earthquake rises to 711: home ministry #NepalQuake,injured_or_dead_people,Death toll in #Nepal's powerful #Earthquake rises to 711
592700487222370304',#Nepal #Steps up #Rescue #Effort #Amid #Global aid #Rush  http://t.co/8sun8yLV2d http://t.co/TONAyBSXmK,not_related_or_irrelevant,#Nepal #Steps up #Rescue #Effort #Amid #Global aid #Rush  http://t.co/8sun8yLV2d http://t.co/TONAyBSXmK
593324254986276864',A French Spiderman scales #MontparnasseTower for Nepal! #TheLocalFrance #PrayForNepal #Paris https://t.co/J8MPHPEDqX,not_related_or_irrelevant,A French Spiderman scales #MontparnasseTower for Nepal! #TheLocalFrance #PrayForNepal #Paris https://t.co/J8MPHPEDqX
593199800687792128',Latest News: India Evacuates 170 Foreigners From Nepal http://t.co/MPXSbHA6QI,affected_people_and_evacuations,Evacuates 170 Foreigners
592243213454348289',"RT @sanjeevsanyal: Just saw photos of the destruction of Kathmandu's Durbar Square\nThe soul of Nepal has been destroyed, it must be rebuilt…",infrastructure_and_utilities_damage,the destruction of Kathmandu's Durbar Square\nThe soul of Nepal has been destroyed
592298878717812736',RT @ADRAIntl: 80% of homes near epicenter of #NepalEarthquake have been damaged or destroyed. #ADRAresponds with regional response. More de…,infrastructure_and_utilities_damage,80% of homes near epicenter of #NepalEarthquake have been damaged or destroyed
592342796939304961',"Delhi Government to Send Food Packets, Drinking Water to Nepal: Delhi Government has decided to send 25,000 pa... http://t.co/nJKs2viyeU",rescue_volunteering_and_donation_effort,"Delhi Government to Send Food Packets, Drinking Water to Nepal"
592250675070799872',happy RT @meghamamgain: Endless wait for passengers at the Kathmandu airport @jonk says the… https://t.co/GnzkoagkAj http://t.co/2xSZLMyLHQ,affected_people_and_evacuations,Endless wait for passengers at the Kathmandu airport
592275148960587776',"RT @timesofindia: Kathmandu's Darbar Square, a UNESCO World Heritage site, in ruins after today's earthquake. Pic: @JulieMakLAT http://t.co…",infrastructure_and_utilities_damage,"Kathmandu's Darbar Square, a UNESCO World Heritage site, in ruins"
593831023286288386',RT @Discovery: The people of Nepal need your help. Find out how you can support relief efforts &gt;&gt;  http://t.co/I4dObdcjYf http://t.co/evGc7…,not_related_or_irrelevant,The people of Nepal need your help
592245975969701888',Search for Nepal earthquake survivors intensifies http://t.co/630VkB2Eju,affected_people_and_evacuations,Search for Nepal earthquake survivors 
592287732149391360',Tourists from Karnataka safe in Nepal \n\nA nine-member group of tourists from different parts of Dakshina Kannada... http://t.co/fAZLmaiA7A,affected_people_and_evacuations,Tourists from Karnataka safe
592276803638562816',RT @TimesNow: Just in: Yet another 5.0-magnitude aftershock hits Nepal,other_useful_information,Yet another 5.0-magnitude aftershock hits Nepal
597737050373115904',Shelter Dogs Now Helping Save Lives In Nepal Following Earthquake - http://t.co/V8Ja6VMINv http://t.co/qN2n8ENWph,rescue_volunteering_and_donation_effort,Shelter Dogs Now Helping Save Lives In Nepal
598082224823504896',RT @CAREAustralia: #NepalEarthquake: $144 can provide clean drinking water for 12 families. Please donate now: http://t.co/KTUp2OPaIH http:…,rescue_volunteering_and_donation_effort, $144 can provide clean drinking water for 12 families
592335758226100224',RT @zarinamehta: Anyone sending emergency supplies to  #NepalEarthquake ? @IndianRedCross  pls let us know where &amp; when to send,not_related_or_irrelevant,RT @zarinamehta: Anyone sending emergency supplies to  #NepalEarthquake ? @IndianRedCross  pls let us know where &amp; when to send
593181573664612352',"RT @BBCBreaking: 10,000+ people injured &amp; nearly 500,000 displaced by #NepalEarthquake, officials say http://t.co/GGpcp3WdFM",injured_or_dead_people,"10,000+ people injured"
592689836856844288',RT @GlobalBC: 5 facts about the #Nepal earthquake http://t.co/RqVBnOUdHY,other_useful_information,5 facts about the #Nepal earthquake
592619305235124224',"RT @I_N_F_O_W_A_R_S: 4_26_15  NEPAL’S HOSPITALS SWAMPED AS QUAKE TOLL PASSES 2,400 THOUSANDS INJURED  #Reuters  http://t.co/EHi7ZPLcYR http…",injured_or_dead_people,"QUAKE TOLL PASSES 2,400 THOUSANDS INJURED"
592275110712758272',"Total 25 time earthquakes/aftershock in Nepal and surrounding area ::  \n1) M7.8 - 34km ESE of Lamjung, Nepal,... http://t.co/2CCVa01BJy",other_useful_information,Total 25 time earthquakes/aftershock in Nepal and surrounding area
