text	label_p1	label_p2	rationale_label
"""@firstpost: Strong tremors felt across north India as earthquake of magnitude 7.5 hits Nepal http://t.co/o9wwJOn9ay http://t.co/sYqqCQW4sf"""	other_useful_information	other_useful_information	strong tremors felt across north india as earthquake of magnitude 7.5 hits nepal 
Save the Children staff worked hard to deliver aid on Day 1 of #NepalQuake active response http://t.co/2ay7junnth http://t.co/w4NUZsspVc	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	staff worked hard to deliver aid 
RT @tirambad: Reports irregularities in Red Cross @RedCross in #NepalEarthquake .. Are you guys following up? We had donated around $1200.	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	we had donated around $ 1200
"Pls Share : Earthquake helpline at the Indian Embassy in Kathmandu-+977 98511 07021, +977 98511 35141"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	earthquake helpline 
RT @MedShare2014: Want to help #disasterresponse in #NepalEarthquake?  Donate to @medshare	not_related_or_irrelevant	not_related_or_irrelevant	want to help #disasterresponse in #nepalearthquake ? donate to
#Bangladesh sending 22-member fire team to #Nepal tomorrow #NepalQuake #HelpNepal http://t.co/aLZaRviGip #ThanksHasina	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	#bangladesh sending 22 - member fire team to #nepal 
RT @UNOCHA: #Nepalquake: An estimated 4.6 million people were exposed to the #earthquake shaking http://t.co/bQMi8P7VR9	injured_or_dead_people	injured_or_dead_people	an estimated 4.6 million people were exposed 
RT @rahulkanwal: My report on foreign tourists turning into aid workers. Trekking expeditions converted into humanitarian missions. http://…	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	foreign tourists turning into aid workers  _sep_exp_token_ trekking expeditions converted into humanitarian missions 
RT @RanOutOfCharact: Blessings up to those in Nepal right now. This is a straight up disaster.	not_related_or_irrelevant	not_related_or_irrelevant	blessings up to those in nepal right now 
"Sheffield based travel firm, Jagged Globe, says one of its teams in Nepal, out of contact since the quake, has now reported all are safe."	affected_people_and_evacuations	affected_people_and_evacuations	one of its teams in nepal , out of contact  _sep_exp_token_ , has now reported all are safe 
@carolineheldman You are amazing.  http://t.co/A82NajGnps	not_related_or_irrelevant	not_related_or_irrelevant	you are amazing .
#Indian #SuryaRay 400 People From Maharashtra Stranded in Nepal are Safe: Devendra Fadnavis: The… http://t.co/PJI4LnKLSX #Indian @SuryaRay	affected_people_and_evacuations	affected_people_and_evacuations	400 people from maharashtra stranded in nepal are safe 
RT @Karma_Paljor: It's terrible in Sankhu 20 km from Katmandu. Many bodies still under rubble. Unstable buildings difficult to rescue http:…	injured_or_dead_people	injured_or_dead_people	many bodies still under rubble 
"RT @omni_flyers: Air India flight from #Delhi to #KTM holding in air, maybe due to latest aftershocks #NepalEarthquake http://t.co/C1RAe6cK…"	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	air india flight from #delhi to #ktm holding in air , 
Nepal hit by major aftershock as search for quake survivors intensifies http://t.co/jNzQs9ZvC8 #news #world	other_useful_information	other_useful_information	nepal hit by major aftershock 
"RT @Ashishkhalifa: Darbar Square,the pride of Nepal and a UNESCO World Heritage Site has suffered massive damage in today Quake,#Nepal http…"	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	darbar square , the pride of nepal and a unesco world heritage site has suffered massive damage 
We must find the missing people in Nepal #earthquake http://t.co/TssoqfSKFf	affected_people_and_evacuations	affected_people_and_evacuations	find the missing people 
RT @Examiner: Nepal earthquake: Himalaya trekker Laura Wood from Huddersfield feared missing http://t.co/0XLxqZ2J3g http://t.co/pMO6nXCzeK	affected_people_and_evacuations	affected_people_and_evacuations	himalaya trekker laura wood from huddersfield feared missing
RT @HMOIndia: Bureau of Immigration has been instructed by the HM to give gratis visas to all tourists stranded in Nepal who are coming to …	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	bureau of immigration has been instructed by the hm to give gratis visas to all tourists stranded in nepal 
RT @MIB_India: #NepalEarthquake:IAF Continues to Evacuate Stranded People in Nepal- Operation Maitri:http://t.co/Dafthhe4LC http://t.co/Lae…	affected_people_and_evacuations	affected_people_and_evacuations	to evacuate stranded people 
"@dinosofos @MichaelPDeacon Torygraph:HSBC scandal suppression, CCHQ propaganda letters displacing Nepal tragedy on front page. Discredited."	not_related_or_irrelevant	not_related_or_irrelevant	" torygraph : hsbc scandal suppression , cchq propaganda letters displacing nepal tragedy on front page . discredited . "
"RT @Thekkapoor: T945-Pls share n spread the contact numbers for Nepal,helplines . #earthquake @SrBachchan @iamsrk @KapilSharmaK9 #RT http:/…"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	the contact numbers for nepal , helplines 
Flash: at least 217 mountaineers missing from Everest base camp area #NepalQuake	affected_people_and_evacuations	affected_people_and_evacuations	at least 217 mountaineers missing 
Nepal earthquake: climber captures Mount Everest avalanche  - #c4news http://t.co/e7Jre6vq14	other_useful_information	other_useful_information	nepal earthquake : climber captures mount everest avalanche 
RT @Outlookindia: Nepal Earthquake: Father-Son Duo of Jammu Hamlet Killed | http://t.co/yaQbKhkfOy | Outlook Wires	injured_or_dead_people	injured_or_dead_people	father-son duo of jammu hamlet killed 
After 5 days on #Nepal earthquake .. boy recovered from under the rubble and he is alive http://t.co/xxUSobBEQg	affected_people_and_evacuations	affected_people_and_evacuations	boy recovered from under the rubble and he is alive
"RT @drspagarwal: Indian #RedCross offers #blood units,Tents,#WatSan Units,family packs etc. to earthquake victims in Nepal.picture still ev…"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	indian #redcross offers #blood units , tents , #watsan units , family packs etc . to earthquake victims 
RT @peter_vas: Evangelism without social work is deficient; social work without evangelism is impotent. —John R. Mott. This is why they are…	not_related_or_irrelevant	not_related_or_irrelevant	evangelism without social work is deficient ; social work without evangelism is impotent . john r . mott . this is why they are
India's Under-14 Girls Football Team Stuck in Nepal Due to Earthquake: Eighteen members of India's Under-14 gi... http://t.co/d9jD4lSieK	affected_people_and_evacuations	affected_people_and_evacuations	india 's under - 14 girls football team stuck 
RT @MicroMappers: Our Crowdsourced CrisisMap of #Nepal has 150+ pictures of #earthquake disaster damage (and counting). See Maps: http://t.…	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	150 + pictures of #earthquake disaster damage 
"#Dauris #Payano.''♥ The Latest on Nepal Quake: Death Toll 4,438 in 3 Countries: Experts say major... http://t.co/bCWONc1T8C #LOVE_MANITO"	injured_or_dead_people	injured_or_dead_people	death toll 4,438 in 3 countries 
"RT @DevirupaM: Latest big one as per @USGS: epicentre - Kodari, Nepal, 6.7 magnitude  http://t.co/mxAgGBjGtr #NepalEarthquake http://t.co/2…"	other_useful_information	other_useful_information	latest big one as per : epicentre - kodari , nepal , 6.7 magnitude #nepalearthquake
"After Nepal Earthquake, a Pile of Bodies and a Lost World: At Kathmandu's Bir Hospital, there is a long row of dead bodies lined up. ..."	injured_or_dead_people	injured_or_dead_people	a pile of bodies  _sep_exp_token_ a long row of dead bodies lined up 
RT @sardogsnepal: #NepalQuakeRelief  Follow updates at our website  &amp; donate for our medical disaster response camp in #Gorkha http://t.co/…	other_useful_information	rescue_volunteering_and_donation_effort	disaster response camp 
"RT @ChristopherJM: Awful. At least 688 dead in Nepal, according to police. Another 20 killed in India, 6 in Tibet and 2 in Bangladesh. http…"	injured_or_dead_people	injured_or_dead_people	at least 688 dead  _sep_exp_token_ another 20 killed in india , 6 in tibet and 2 in bangladesh 
"RT @nytimes: The Nepal earthquake touched off an avalanche on Mount Everest, causing injuries and deaths http://t.co/Yrs1MXK9H3 http://t.co…"	injured_or_dead_people	injured_or_dead_people	causing injuries and deaths
RT @SPoonia777: #MSGHelpEarthquakeVictims Google has released a people finder for the #NepalEarthquake http://t.co/DXa0mzqtGx (data not ver…	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	google has released a people finder 
RT @NeverForget0911: Help us help #Nepal. NFF is sending responders for rescue &amp; recovery. We need your donation to help those affected. ht…	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	nff is sending responders for rescue & recovery 
"""The Nepal Government will take serious legal action against the black market people and people spreading rumors"" #NapalEarthquake"	not_related_or_irrelevant	not_related_or_irrelevant	" " " the nepal government will take serious legal action against the black market people and people spreading rumors " " #napalearthquake "
"RT @abcnews: Australians missing after #Nepal #earthquake kills more than 1,300 http://t.co/1cs7UqYps5 https://t.co/VkU3HPH1Nb"	affected_people_and_evacuations	affected_people_and_evacuations	australians missing 
"Death toll rises to 1,805 after 7.8 magnitude earthquake devastates Nepal http://t.co/FHy7LNH2vE http://t.co/oXtdTH7aWD"	injured_or_dead_people	injured_or_dead_people	death toll rises to 1,805 
"Alex Staniforth,19,from Cheshire, survived being hit by earthquake avalanche below Everest in Nepal. Shaken but safe http://t.co/dsq411Mxqx"	affected_people_and_evacuations	affected_people_and_evacuations	alex staniforth , 19 , from cheshire , survived 
Climbers stranded on Everest face 'race against time' after Nepal earthquake http://t.co/22mg5uea61	affected_people_and_evacuations	affected_people_and_evacuations	climbers stranded 
"RT @TODAYonline: Sg to donate S$100,000 seed money to kick-start @SGRedCross appeal for donations http://t.co/Ow5uR1xXJf #NepalQuake http:/…"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	sg to donate s $ 100,000 seed money to kick-start appeal 
RT @globalhlthtwit: Astonishing. BBC Marr discuss Nepal in terms of risks to Everest climbers and heritage. No mention of Nepalis.	not_related_or_irrelevant	not_related_or_irrelevant	astonishing . bbc marr discuss nepal in terms of risks to everest climbers and heritage . no mention of nepalis .
BBC News - Sentinel satellite reveals Nepal quake movement http://t.co/puZ9z4EjEv	other_useful_information	other_useful_information	sentinel satellite reveals nepal quake movement
A Poetic tribute to  #NepalQuake by our #TumbhiArtists  Read:... http://t.co/FbKf0FId2v	not_related_or_irrelevant	not_related_or_irrelevant	a poetic tribute to #nepalquake by our #tumbhiartists read : ...
RT @geetapandeyBBC: Reports coming in from Nepal of another big quake. We felt it here in delhi too. Went on for close to a minute	other_useful_information	other_useful_information	reports coming in from nepal of another big quake 
Earthquake Nepal April 2015 https://t.co/Veoo7r35YL	other_useful_information	other_useful_information	earthquake nepal april 2015
RT @iDangs_: Pray for the people of Nepal. Too many lost lives na.	not_related_or_irrelevant	not_related_or_irrelevant	pray for the people of nepal 
"RT @delpieroale: Check out these links, they are excellent guides for those who would like to help #NepalEarthquake http://t.co/8i98GBLrY0 …"	not_related_or_irrelevant	not_related_or_irrelevant	" rt : check out these links , they are excellent guides for those who would like to help #nepalearthquake "
RT @drharshvardhan: The death of mountaineers in the avalanche following Nepal's quake has deeply affected those with the  spirit of advent…	injured_or_dead_people	injured_or_dead_people	the death of mountaineers 
"RT @rks196: @PMOlndia Due to shortage of hotels&amp;food in Nepal no,. of journalists,photographers etc shld be restricted in Nepal,Govt shld c…"	not_related_or_irrelevant	not_related_or_irrelevant	" rt : due to shortage of hotels & food in nepal no , . of journalists , photographers etc shld be restricted in nepal , govt shld c "
"RT @AdamLBarnett: 3,617 killed in Nepal. Protests &amp; riots in Baltimore. 88,175 worldwide abortions. FBI predicts ISIS attack in USA.  Peopl…"	injured_or_dead_people	injured_or_dead_people	3,617 killed 
"Let's pray for everyone in Nepal, hope they will find their loved ones &lt;3"	not_related_or_irrelevant	not_related_or_irrelevant	" let 's pray for everyone in nepal , hope they will find their loved ones <3 "
"RT @veterantraveler: Learn the story behind ""Search and Rescue Nepal"" and help us meet our goal. @indiegogolife http://t.co/JIpGssBOJq"	not_related_or_irrelevant	not_related_or_irrelevant	" rt : learn the story behind " " search and rescue nepal " " and help us meet our goal . "
This Security Camera Footage Of The Nepal Earthquake Will Make Your Heart Bleed For The People In Nepal http://t.co/vJEkSj7Epv via @MensXP	other_useful_information	other_useful_information	this security camera footage of the nepal earthquake 
RT @nischalgurung: Before and After Pictures from Nepal: Devastation of the Earthquake Changed The Face of Nepal  http://t.co/Z9P4eKimc0	other_useful_information	other_useful_information	before and after pictures from nepal 
"RT @Beltrew: 1,910 people killed. 6M affected. Latest #data from the HDX Nepal crisis page. #NepalQuake  - https://t.co/bBFGHO5MxX http://t…"	injured_or_dead_people	injured_or_dead_people	1,910 people killed 
I liked a @YouTube video from @ruptly http://t.co/KYWHmKMjUO Nepal: Panic as 6.7 magnitude aftershock rocks Kathmandu	other_useful_information	other_useful_information	as 6.7 magnitude aftershock rocks kathmandu
Earth-Quake in Nepal............... http://t.co/3xWAkAudIM	other_useful_information	other_useful_information	earth-quake in nepal
RT @ChannelNewsAsia: BREAKING: Quake aftershock of 6.7 magnitude hits Nepal http://t.co/rnBxLk4N5M	other_useful_information	other_useful_information	quake aftershock of 6.7 magnitude hits nepal
RT @dandavats_com: Let us come together to pray for those affected by the earthquake in Nepal and India. ISKCON Nepal has set up a rel… htt…	not_related_or_irrelevant	not_related_or_irrelevant	let us come together to pray for those affected 
"#Map showing the location of #Earthquake on 25th and 26th April, 2015 in North India and Nepal. http://t.co/ea7E3SYCYQ"	other_useful_information	other_useful_information	#map showing the location of #earthquake 
RT @cuteinsan: In this horrible situation in nepal our God  @Gurmeetramrahim  can help pita ji they really need your simpathy #MSGHelpEarth…	not_related_or_irrelevant	not_related_or_irrelevant	in this horrible situation in nepal our god can help pita ji they really need your simpathy #msghelpearth
RT @AnupamPkher: Dear God! Please give the people of Nepal the courage to deal with this tragedy. Dear World! Let's give Nepal all the love…	not_related_or_irrelevant	not_related_or_irrelevant	dear god ! please give the people of nepal the courage to deal with this tragedy . dear world ! let 's give nepal all the love
"RT @TODAYonline: LATEST: Nepal's main airport shuts down, @airindiain flights to Kathmandu return to New Delhi, reports @ndtv #NepalQuake"	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	nepal 's main airport shuts down , flights to kathmandu return to new delhi 
RT @harbhajan_singh: A special thank you to the Indian government and IAF for the immediate help and rescue work in Nepal.. Humanity is res…	not_related_or_irrelevant	not_related_or_irrelevant	a special thank you to the indian government and iaf for the immediate help and rescue work in nepal .. humanity is res
#NepalEarthquake - More Oxfam responders arrived in Kathmandu after bit of a wait due to airport being closed following powerful aftershock	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	airport being closed 
Building collapsed in Nepal caught Live on Camera http://t.co/3luB72gKKC	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	building collapsed 
"RT@Ostrov_A   #ISRAEL #NEPAL  #Israel sent 260 people to #NepalQuake  Medical aid workers,search &amp; rescue people http://t.co/76vKtRaywr"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	#israel sent 260 people to #nepalquake medical aid workers , search & rescue people
Scripps is gearing up to send highly trained medical response team to Nepal http://t.co/NHgCekuESh http://t.co/yjoftpYKVO	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	scripps is gearing up to send highly trained medical response team to nepal
RT @HDNER: IN PHOTOS: \nQuake deals blow to Nepal’s cultural heritage as before-and-after photos show \nhttp://t.co/TBNmnwhhpP http://t.co/yB…	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	blow to nepals cultural heritage 
RT @janisctv: Re-using firewood at the main crematorium in #Kathmandu. Funeral pyres are burning day and night. #NepalQuake http://t.co/dmH…	injured_or_dead_people	injured_or_dead_people	funeral pyres are burning day and night 
"To #Kathmandu and back: ‘Even now when I stand up, it feels as though the earth is moving’. http://t.co/MBybCWve5o #NepalQuake"	not_related_or_irrelevant	not_related_or_irrelevant	" to #kathmandu and back : even now when i stand up , it feels as though the earth is moving . #nepalquake "
"As instructed by HEP Yameen, Tourism industry sponsored the Maldivian flight to bring Maldivian's in Nepal Tomorrow,coordinated by FM Dunya!"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	tourism industry sponsored the maldivian flight to bring maldivian 's in nepal 
Whole building collapsed in a few seconds after the earthquake in Nepal.\n#weprayforyounepal http://t.co/uDjxa1a8Di	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	whole building collapsed in a few seconds 
RT @PostOfficeNews: Donations can also be made to the Nepal Earthquake Appeal @PostOffice  https://t.co/nOduo0biZ4	not_related_or_irrelevant	not_related_or_irrelevant	donations can also be made to the nepal earthquake appeal
Footage shows the moment the devastating quake shatters Nepal:  CCTV footage has emerged of the moment a devas... http://t.co/0K6MyaHcIJ	other_useful_information	other_useful_information	footage shows the moment the devastating quake shatters nepal 
RT @XHNews: Rescuers working to reopen section of China-Nepal highway cut off by quake-triggered landslide #NepalQuake http://t.co/T6TaF89L…	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	reopen section of china-nepal highway cut off 
Before and after photographs: Devastating earthquake wipes off important monuments in Nepal ... - http://t.co/hOy97dL0Hu #NewsInTweetsIndia	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	wipes off important monuments 
RT @a_campolina: Great to see our @ActionAid international and Nepalese teams working tirelessly with local movements in our response in #N…	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	our international and nepalese teams working tirelessly with local movements 
wowaa Photos: Over 1500 killed in massive earthquake in Nepal today http://t.co/c6apOCxX5y	injured_or_dead_people	injured_or_dead_people	over 1500 killed 
The Power of Business in Emergencies - Online Briefing on the Nepal Earthquake http://t.co/fG3YZBRAND	other_useful_information	other_useful_information	online briefing on the nepal earthquake
"After being closed nearly three hours, Kathmandu\'s airport reopen"" - Syukran! #Nepal #nepalearthquake"	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	closed  _sep_exp_token_ kathmandu \ ' s airport reopen 
I'm raising money for nepal earth quake relief fund. Click to Donate: http://t.co/cxEzhhTnGF via @gofundme	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	i 'm raising money for nepal earth quake relief fund 
"RT @morgaaanf: 1,000 were killed after an earthquake in Nepal &amp; people were worrying about Bruce Jenner. The power of media is scary http:/…"	injured_or_dead_people	injured_or_dead_people	1,000 were killed 
#ukip supporters probably in hiding after #NepalEarthquake Since basically they are voting for a party that wants to reduce foreign aid ὄD	not_related_or_irrelevant	not_related_or_irrelevant	#ukip supporters probably in hiding after #nepalearthquake since basically they are voting for a party that wants to reduce foreign aid d
"RT @PhinneyHub: “If we had had money we would have built a strong house. But we had none. There is no place to go."" #Nepal http://t.co/2aZ5…"	not_related_or_irrelevant	not_related_or_irrelevant	" rt : if we had had money we would have built a strong house . but we had none . there is no place to go . " " #nepal "
"RT @_Adi_Angel_: #Israel airforce left 2 #Nepal to save lives,search &amp;rescue &amp; set up a field hospital. #NepalQuakeRelief #NepalQuake http:…"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	#israel airforce left 2 #nepal to save lives , search & rescue & set up a field hospital 
Are take offs possible right now at #Kathmandu airport?	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	are take offs possible right now at #kathmandu airport ?
#NZ Nepal earthquake: Race is on to rescue climbers from Everest before supplies run out http://t.co/rt2KPLuYkp #Herald	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	race is on to rescue climbers 
RT @RotaryLondonSM: #RT Fantastic @rotary @ShelterBox Help for Nepal from @rotary So proud to be a #rotarian @rotarylondonsm @rotaryclive @…	not_related_or_irrelevant	not_related_or_irrelevant	#rt fantastic help for nepal from so proud to be a #rotarian
.@christian_aid’s @nick_guttmann on the aftermath of #NepalEarthquake on @BBCRadio4 news (02:26-02:41): http://t.co/WR2CPujqwF	other_useful_information	other_useful_information	on the aftermath of #nepalearthquake 
RT @ANI_news: Indians rescued from Nepal reach Delhi. #NepalEarthquake http://t.co/0AVuHQw4U3	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	indians rescued 
"RT @smitharyy: » http://t.co/RhTwiVSPhw #DanFredinburg Dan Fredinburg Google Exec, Avid Climber Dan Fredinburg Killed In Massive Nepal Quak…"	injured_or_dead_people	injured_or_dead_people	#danfredinburg dan fredinburg google exec , avid climber dan fredinburg killed 
"RT @AAPYouthwing: #Delhi Govt has decided to send 25,000 packets of food &amp; 25,000 pouches of drinking water as relief for the people of ear…"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	#delhi govt has decided to send 25,000 packets of food & 25,000 pouches of drinking water as relief 
@timesofindia whole world is watching great work of @RSS_Org in Nepal we are proud on RSS..	not_related_or_irrelevant	not_related_or_irrelevant	whole world is watching great work of in nepal we are proud on rss ..
"RT @DirectRelief: Via @nprnews: Nepal, Before The Earthquake Struck: A Photographer's Portfolio http://t.co/PPDt7DDVEl"	other_useful_information	other_useful_information	nepal , before the earthquake struck 
"New post: Earthquake aftershock hits Nepal and India, magnitude 6.7 http://t.co/Egh8EHsMt0"	other_useful_information	other_useful_information	earthquake aftershock hits nepal and india , magnitude 6.7
Britons among missing after Nepal Earthquake kills hundreds http://t.co/iPwVmn45Ry http://t.co/FozC4HtOyK	affected_people_and_evacuations	affected_people_and_evacuations	britons among missing 
"3Novices:Tired of waiting for aid, angry quake survivors block roads in Nepal http://t.co/CjjeR0pHum An official from Nepal's home minist…"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	tired of waiting for aid 
RT @CMOfficeUP: '@UPGovt is sending 25 buses today for evacuation in Nepal.More buses will be sent as demand arises'- #UPCM @yadavakhilesh	affected_people_and_evacuations	affected_people_and_evacuations	sending 25 buses today for evacuation 
RT @kathmandupost: All flights at Tribhuvan International Airport cancelled till 4 pm #NepalQuake	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	all flights at tribhuvan international airport cancelled till 4 pm
RT @MadihaAbidAli: Incredible images show baby pulled from rubble 22 hours after Nepal earthquake  http://t.co/oVKkNODlvR	affected_people_and_evacuations	affected_people_and_evacuations	baby pulled from rubble 
VIDEO: Quake survivor pulled from apartment: Many remote areas of Nepal are still waiting for assistance follo...  http://t.co/Bsd2jGo5Yp	affected_people_and_evacuations	affected_people_and_evacuations	quake survivor pulled from apartment 
RT @meghamamgain: Endless wait for passengers at the Kathmandu airport @jonk says the airport display screen have gone dark increasing conf…	affected_people_and_evacuations	affected_people_and_evacuations	endless wait for passengers at the kathmandu airport 
@ThaiAirways TG 319 has landed and #Kathmandu #airport is ok after 6.9 quake today #NepalEarthquake #TIA #Nepalquake https://t.co/j9ve2jGjWH	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	#kathmandu #airport is ok 
"RT @TheAtlanticFOTO: Nepal After the Earthquake - 27 photos, immediate aftermath of the devastating 7.8 quake: http://t.co/pbM9UKxppw http:…"	other_useful_information	other_useful_information	nepal after the earthquake - 27 photos , immediate aftermath of the devastating 7.8 quake 
RT @tajinderbagga: Telecom Minister RS prasad order BSNL to Charge all call to Nepal as Local call #IndiaWithNepal	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	telecom minister rs prasad order bsnl to charge all call to nepal as local call
RT @UNICEF_uk: Millions of children in danger after #NepalEarthquake - Text NEPAL to 70123 to donate £5 T&amp;Cs: http://t.co/SlVO60gbFU http:/…	affected_people_and_evacuations	affected_people_and_evacuations	millions of children in danger 
Keeping our missing family in Nepal in our thoughts and prayers. Sending positive vibes.	not_related_or_irrelevant	not_related_or_irrelevant	keeping our missing family in nepal in our thoughts and prayers . sending positive vibes .
East of Kathmandu RT @TelegraphPics #NepalEarthquake. Photos of devastation in World Heritage Site Bhaktapur http://t.co/m7iMzfeDXP	other_useful_information	other_useful_information	photos of devastation in world heritage site bhaktapur
RT @SOSCV_Canada: This AM a 7.8 magnitude earthquake hit Nepal. Donate to SOS &amp; help the 1000s of children affected: http://t.co/SoODms8u5m…	other_useful_information	other_useful_information	am a 7.8 magnitude earthquake hit nepal 
Jefferson County man located safely in Nepal after quake; Washington ... - http://t.co/l9J0IflTbg http://t.co/J7h3lAxWN3	affected_people_and_evacuations	affected_people_and_evacuations	jefferson county man located safely 
